timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];paddle_pos_filt [deg];hall_voltage [V];enable PID;Target_Angle [deg];Kp ;Ki ;Kd ;enable Encoder_Angle;rise_time [s];overshoot_angle [deg];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
942.9735;0.0005028994638;0;350;0;10.00560284;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9742;0.0005028994638;0;350;0;10.00168991;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.97525;0.0005028994638;0;350;0;9.988668442;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9763;0.0005028994638;0;350;0;10.00527;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.97735;0.0005028994638;0;350;0;9.99529171;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9784;0.0005028994638;0;350;0;9.992303848;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.97945;0.0005028994638;0;350;0;9.994038582;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9805;0.0005028994638;0;350;0;9.997992516;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9812;0.0005028994638;0;350;0;9.998828888;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.98225;0.0005028994638;0;350;0;10.00519085;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9833;0.0005028994638;0;350;0;10.0001564;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.98435;0.0005028994638;0;350;0;10.00266838;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9854;0.0005028994638;0;350;0;10.01819897;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.98645;0.0005028994638;0;350;0;10.02241898;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.98715;0.0005028994638;0;350;0;10.01997757;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9882;0.0005028994638;0;350;0;10.01523018;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.98925;0.0005028994638;0;350;0;10.00492191;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9903;0.0005028994638;0;350;0;10.00493145;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.99135;0.0005028994638;0;350;0;10.00003338;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9924;0.0005028994638;0;350;0;10.00260925;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.99345;0.0005028994638;0;350;0;9.986363411;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.99415;0.0005028994638;0;350;0;9.989982605;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9952;0.0005028994638;0;350;0;9.986653328;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.99625;0.0005028994638;0;350;0;9.983302116;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9973;0.0005028994638;0;350;0;9.989766121;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.99835;0.0005028994638;0;350;0;9.992835045;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
942.9994;0.0005028994638;0;350;0;9.975440025;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.00045;0.0005028994638;0;350;0;9.98603344;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.00115;0.0005028994638;0;350;0;9.98978138;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0022;0.0005028994638;0;350;0;9.984808922;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.00325;0.0005028994638;0;350;0;9.998535156;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0043;0.0005028994638;0;350;0;10.00818253;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.00535;0.0005028994638;0;350;0;10.014534;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0064;0.0005028994638;0;350;0;10.00459194;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.00745;0.0005028994638;0;350;0;10.00967598;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.00815;0.0005028994638;0;350;0;10.00593948;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.0092;0.0005028994638;0;350;0;10.00541401;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
943.01025;0.0005028994638;0;350;0;10.00026321;2.548285246;0;10;0.02999999933;0.6899999976;0.0003250000009;0;0;0;0;0;0;0
