timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];encoder_paddle_vel [deg/s];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
992.4845;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
992.48555;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.4866;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.48765;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.48835;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.4894;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.49045;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.4915;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.49255;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.4936;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.4943;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.49535;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.4964;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.49745;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.4985;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.49955;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5006;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5013;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
992.50235;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5034;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.50445;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5055;-0.0004305528419;0;350;0;0.9119999409;2.516095161;0;0;0;0;0
992.50655;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5076;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5083;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.50935;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.5104;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.51145;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5125;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.51355;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5146;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5153;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.51635;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5174;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.51845;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5195;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.52055;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.52125;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5223;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.52335;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5244;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.52545;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5265;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.52755;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.52825;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5293;-0.0004305528419;0;350;0;0.9119999409;2.517205238;0;0;0;0;0
992.53035;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5314;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.53245;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5335;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.53455;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.53525;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5363;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.53735;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5384;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.53945;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5405;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.54155;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.54225;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5433;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.54435;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5454;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.54645;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5475;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5482;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.54925;-0.0004305528419;0;350;0;0.9119999409;2.520535231;0;0;0;0;0
992.5503;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.55135;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5524;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.55345;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5545;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.5552;-0.0004305528419;0;350;0;0.9119999409;2.518315077;0;0;0;0;0
992.55625;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.5573;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
992.55835;-0.0004305528419;0;350;0;0.9119999409;2.519425154;0;0;0;0;0
